,input,input_lemma,input_pos,target
0,с тех пор жил он в своей симбирской деревне где и женился на девице авдотье васильевне ю дочери бедного тамошнего дворянина,с тот пора жить он в свой симбирский деревня где и жениться на девица авдотья василиевич ю дочь бедный тамошний дворянин,ADP DET NOUN VERB PRON ADP DET ADJ NOUN ADV CCONJ VERB ADP ADJ NOUN NOUN ADP NOUN ADJ ADJ NOUN,S S S S S S S S C S S S S S S S C S S S P
1,матушка была еще мною брюхата как уже я был записан в семеновский полк сержантом по милости майора гвардии князя в близкого нашего родственника,матушка быть еще я брюхатый как уже я быть записать в семеновский полк сержант по милость майор гвардия князь в близкий наш родственник,NOUN AUX ADV PRON NOUN SCONJ ADV PRON AUX VERB ADP ADJ NOUN NOUN ADP NOUN NOUN NOUN NOUN ADP ADJ DET NOUN,S S S S C S S S S S S S S C S S S S S C S S P
2,если бы паче всякого чаяния матушка родила дочь то батюшка объявил бы куда следовало о смерти неявившегося сержанта и дело тем бы и кончилось,если бы паче всякий чаяние матушка родить дочь то батюшка объявить бы куда следовать о смерть неявиться сержант и дело тот бы и кончиться,SCONJ AUX ADV DET NOUN NOUN VERB NOUN SCONJ NOUN VERB AUX ADV VERB ADP NOUN ADJ NOUN CCONJ NOUN DET AUX PART VERB,S S S S S S S C S S S S S S S S S C S S S S S P
3,с пятилетнего возраста отдан я был на руки стремянному савельичу за трезвое поведение пожалованному мне в дядьки,с пятилетний возраст отдать я быть на рука стремянный савельич за трезвый поведение пожаловать я в дядька,ADP ADJ NOUN VERB PRON AUX ADP NOUN ADJ NOUN ADP ADJ NOUN NOUN PRON ADP NOUN,S S S S S S S S S C S S S S S S P
4,в это время батюшка нанял для меня француза мосье бопре которого выписали из москвы вместе с годовым запасом вина и прованского масла,в это время батюшка нанять для я француз мосье бопер который выписать из москва вместе с годовой запас вино и прованский масло,ADP DET NOUN NOUN VERB ADP PRON NOUN ADJ NOUN PRON VERB ADP NOUN ADV ADP ADJ NOUN NOUN CCONJ ADJ NOUN,S S S S S S S C S C S S S S S S S S S S S P
5,слава богу ворчал он про себя кажется дитя умыт причесан накормлен,слава бог ворчать он про себя кажется дитя умыть причесать накормить,NOUN NOUN VERB PRON ADP PRON ADV NOUN ADJ ADJ NOUN,S C S S S C C S C C P
6,куда как нужно тратить лишние деньги и нанимать мусье как будто и своих людей не стало,куда как нужный тратить лишний деньга и нанимать мусие как будто и свой человек не стать,ADV ADV ADJ VERB ADJ NOUN CCONJ VERB NOUN SCONJ PART CCONJ DET NOUN PART VERB,S S S S S S S S C S S S S S S EX
7,он был добрый малый но ветрен и беспутен до крайности,он быть добрый малый но ветреный и беспутный до крайность,PRON AUX ADJ ADJ CCONJ ADJ CCONJ VERB ADP NOUN,S S S C S S S S S P
8,главною его слабостию была страсть к прекрасному полу нередко за свои нежности получал он толчки от которых охал по целым суткам,главный он слабость быть страсть к прекрасный пол нередко за свой нежность получать он толчок от который охать по целый сутки,VERB PRON NOUN VERB NOUN ADP ADJ NOUN ADV ADP DET NOUN VERB PRON NOUN ADP PRON VERB ADP ADJ NOUN,S S S S S S S C S S S S S S C S S S S S P
9,к тому же не был он и врагом бутылки т е любил хлебнуть лишнее,к тот же не быть он и враг бутылка т е любить хлебнуть лишний,ADP PRON PART PART AUX PRON CCONJ NOUN NOUN ADP X VERB ADJ ADJ,S S S S S S S S C S S S S P
